NAME: CVRPTW Kababoss
TYPE: CVRPTW
COMMENT: 17 Titik Lokasi
DIMENSION: 17
VEHICLE_CAPACITY: 500
NUM_VEHICLES: 1
INITIAL_PHEROMONE: 0.0001

NODE_COORD_SECTION
1	107.49014	-6.51526													
2	107.88201	-7.19491													
3	107.56328	-6.92330													
4	107.76028	-6.56787													
5	107.34295	-6.33830													
6	107.32963	-6.29778													
7	107.30461	-6.32338													
8	107.92043	-7.21413													
9	107.46148	-6.40623													
10	107.37995	-6.36171													
11	108.22722	-7.34847													
12	107.43101	-6.55900													
13	107.45204	-6.54048													
14	107.44267	-6.54483													
15	107.89576	-7.20645													
16	107.00366	-6.21521													
17	107.90906	-7.21596													

DEMAND_SECTION																
1	0															
2	121.7															
3	200.2															
4	87.8															
5	57.3															
6	144.3															
7	135.3															
8	161.6															
9	39.2															
10	80.6															
11	130.7															
12	24.1															
13	160.8															
14	53.3															
15	116.2															
16	104.7															
17	97.3															

TIME_WINDOW_SECTION																
1	0	1020														
2	240	900														
3	240	900														
4	240	900														
5	240	900														
6	240	900														
7	180	900														
8	180	840														
9	240	900														
10	240	900														
11	240	900														
12	240	900														
13	180	900														
14	280	900														
15	180	900														
16	120	840														
17	120	840														

SERVICE_TIME_SECTION																
1	0															
2	20															
3	20															
4	20															
5	20															
6	20															
7	20															
8	20															
9	20															
10	20															
11	20															
12	20															
13	20															
14	20															
15	20															
16	20															
17	20															

EDGE_WEIGHT_SECTION																
0	129	68.9	39.4	35.3	37.9	37.8	133	20.6	36.4	182	11.5	6.9	8.6	130	77.6	132
129	0	73.4	153	152	155	155	6.5	144	153	58.9	118	122	120	2.1	193	4.8
68.9	73.4	0	61.3	89.9	92.6	92.4	73	82	90.9	122	56.2	59.5	58.0	71.2	131	72.9
39.4	153	61.3	0	67.7	70.2	70.0	147	53.8	68.7	180	67.4	57.1	58.2	146	109	147
35.3	152	89.9	67.7	0	5.5	6.3	151	13.6	7	200	35.4	38.7	37.2	149	51.1	151
37.9	155	92.6	70.2	5.5	0	5	156	18.6	12	205	40.4	43.7	42.3	154	56.1	156
37.8	155	92.4	70.0	6.3	5	0	161	19	12.4	210	45.4	48.7	47.3	159	46.6	161
133	6.5	73	147	151	156	161	0	147	156	55.9	122	125	123	3.7	197	1.6
20.6	144	82	53.8	13.6	18.6	19	147	0	12.9	192	27.3	17.5	18.6	141	69.1	143
36.4	153	90.9	68.7	7	12	12.4	156	12.9	0	199	34.2	30.6	36.1	148	55.8	150
182	58.9	122	180	200	205	210	55.9	192	199	0	168	172	170	56.9	246	55.6
11.5	118	56.2	67.4	35.4	40.4	45.4	122	27.3	34.2	168	0	4.7	3.3	118	79.9	119
6.9	122	59.5	57.1	38.7	43.7	48.7	125	17.5	30.6	172	4.7	0	1.7	121	76.6	123
8.6	120	58.0	58.2	37.2	42.3	47.3	123	18.6	36.1	170	3.3	1.7	0	119	81.7	121
130	2.1	71.2	146	149	154	159	3.7	141	148	56.9	118	121	119	0	195	2.4
77.6	193	131	109	51.1	56.1	46.6	197	69.1	55.8	246	79.9	76.6	81.7	195	0	197
132	4.8	72.9	147	151	156	161	1.6	143	150	55.6	119	123	121	2.4	197	0

TRAVEL_TIME_SECTION																
0	165	83	75	59	61	66	170	45	62	251	34	18	23	165	99	168
165	0	116	177	193	189	192	16	179	184	110	147	154	150	5	240	13
83	116	0	123	105	107	110	106	94	107	188	67	74	69	105	146	109
75	177	123	0	70	69	72	162	57	73	229	65	66	65	160	117	163
59	193	105	70	0	11	19	173	23	17	258	42	50	47	174	75	178
61	189	107	69	11	0	14	183	30	24	267	51	56	55	180	78	182
66	192	110	72	19	14	0	184	35	28	270	55	60	59	182	73	186
170	16	106	162	173	183	184	0	162	169	79	133	139	136	8	254	3
45	179	94	57	23	30	35	162	0	23	236	36	29	32	153	87	159
62	184	107	73	17	24	28	169	23	0	247	43	46	45	162	83	168
251	110	188	229	258	267	270	79	236	247	0	212	218	215	83	315	81
34	147	67	65	42	51	55	133	36	43	212	0	9	6	126	91	131
18	154	74	66	50	56	60	139	29	46	218	9	0	4	133	97	138
23	150	69	65	47	55	59	136	32	45	215	6	4	0	130	99	135
165	5	105	160	174	180	182	8	153	162	83	126	133	130	0	253	5
99	240	146	117	75	78	73	254	87	83	315	91	97	99	253	0	255
168	13	109	163	178	182	186	3	159	168	81	131	138	135	5	255	0
EOF
